Cerveza,Cervecería,Origen,Estilo Real,Estilo Chelasabe,ABV,IBU,SRM,Establecimiento
Kaminari Sour Granada,Kaminari,Baja California,Sour Granada,Strong Ale,,,,Apóstol Tap Room
Fervor Wheat Beer,Fervor,Yucatán,Wheat Beer,Wheat Beer,,,,Apóstol Tap Room
Teorema Red Ale,Teorema,Baja California,Red Ale,Pale Ale,,,,Apóstol Tap Room
Kaminari Sour Sandía,Kaminari,Baja California,Sour Sandía,Strong Ale,,,,Apóstol Tap Room
Teorema Hazy IPA,Teorema,Baja California,Hazy IPA,Indian Pale Ale,,,,Apóstol Tap Room
Cardera Carajillo Stout,Cardera,Baja California,Carajillo Stout,Stout,,,,Apóstol Tap Room
Ristretto Stout,Santa Sabina,Jalisco,Ristretto Stout,Stout,,,,Apóstol Tap Room
Cardera Session IPA,Cardera,Baja California,Session IPA,Indian Pale Ale,,,,Apóstol Tap Room
Pinillos Italian Pilsner,Casa Pinillos,Yucatán,Italian Pilsner,Pilsner,,,,Apóstol Tap Room
Pinillos Schwarzbier,Casa Pinillos,Yucatán,Schwarzbier,Dark Lager,,,,Apóstol Tap Room
Aguamala Stout,Aguamala,Baja California,Stout,Stout,,,,Apóstol Tap Room
Aguamala Red IPA,Aguamala,Baja California,Red IPA,Indian Pale Ale,,,,Apóstol Tap Room
Bird Mango Ale,Bird,Yucatán,Mango Ale,Pale Ale,"5,5",,,Bird Tap
Bird Pale Ale,Bird,Yucatán,Pale Ale,Pale Ale,5,,,Bird Tap
Bird Tropical Ale,Bird,Yucatán,Tropical Ale,Pale Ale,"4,5",,,Bird Tap
Bird Hazy IPA,Bird,Yucatán,Hazy IPA,Indian Pale Ale,7,,,Bird Tap
Bird Red IPA,Bird,Yucatán,Red IPA,Indian Pale Ale,"6,5",,,Bird Tap
Bird Velvet Stout,Bird,Yucatán,Velvet Stout,Stout,"6,5",,,Bird Tap
Sin Filtro Brown Ale,Sin Filtro,Yucatán,Brown Ale,Brown Ale,6,,,Bird Tap
Casa Pinillos Session IPA,Casa Pinillos,Yucatán,Session IPA,Indian Pale Ale,"4,8",,,Bird Tap
Ceiba Viena Lager,Ceiba,Yucatán,Viena Lager,Amber Lager,"4,8",,,Bird Tap
Acasillados Honey Blonde,Acasillados,Yucatán,Honey Blonde,Wheat Beer,"4,1",,,Bird Tap
Fauna Imperial Maple Stout,Fauna,Baja California,Imperial Maple Stout,Stout,9,,,Bird Tap
Fauna NEIPA,Fauna,Baja California,NEIPA,Indian Pale Ale,7,,,Bird Tap